name,weight,price,crawllink,link,details,id,imgUrl
Крыжовник,,,http://health-diet.ru/base_of_food/sostav/160.php,,"{""Калорийность Ккал"": ""45"", ""Белки гр."": ""0,7"", ""Жиры гр."": ""0,2"", ""Углеводы гр."": ""9,1"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Крыжовник"", ""top_cat"": ""Фрукты и ягоды""}",160,
Лимонник,,,http://health-diet.ru/base_of_food/sostav/182.php,,"{""Калорийность Ккал"": ""11,1"", ""Белки гр."": ""1"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""1,9"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Лимонник"", ""top_cat"": ""Фрукты и ягоды""}",182,
Малина,,,http://health-diet.ru/base_of_food/sostav/198.php,,"{""Калорийность Ккал"": ""46"", ""Белки гр."": ""0,8"", ""Жиры гр."": ""0,5"", ""Углеводы гр."": ""8,3"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Малина"", ""top_cat"": ""Фрукты и ягоды""}",198,
Желтоперка,,,http://health-diet.ru/base_of_food/sostav/93.php,,"{""Калорийность Ккал"": ""108"", ""Белки гр."": ""17,9"", ""Жиры гр."": ""4"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Желтоперка"", ""top_cat"": ""Рыба и морепродукты""}",93,
Жерех,,,http://health-diet.ru/base_of_food/sostav/94.php,,"{""Калорийность Ккал"": ""98,6"", ""Белки гр."": ""18,8"", ""Жиры гр."": ""2,6"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Жерех"", ""top_cat"": ""Рыба и морепродукты""}",94,
Зеленоглазка,,,http://health-diet.ru/base_of_food/sostav/97.php,,"{""Калорийность Ккал"": ""117"", ""Белки гр."": ""19,6"", ""Жиры гр."": ""4,3"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Зеленоглазка"", ""top_cat"": ""Рыба и морепродукты""}",97,
Зубан,,,http://health-diet.ru/base_of_food/sostav/99.php,,"{""Калорийность Ккал"": ""131,9"", ""Белки гр."": ""18,8"", ""Жиры гр."": ""6,3"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Зубан"", ""top_cat"": ""Рыба и морепродукты""}",99,
Зубатка пестрая,,,http://health-diet.ru/base_of_food/sostav/100.php,,"{""Калорийность Ккал"": ""126"", ""Белки гр."": ""19,6"", ""Жиры гр."": ""5,3"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Зубатка пестрая"", ""top_cat"": ""Рыба и морепродукты""}",100,
Зубатка полосатая,,,http://health-diet.ru/base_of_food/sostav/101.php,,"{""Калорийность Ккал"": ""109"", ""Белки гр."": ""16"", ""Жиры гр."": ""5"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Зубатка полосатая"", ""top_cat"": ""Рыба и морепродукты""}",101,
Кабан-рыба,,,http://health-diet.ru/base_of_food/sostav/1142.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Кабан-рыба"", ""top_cat"": ""Рыба и морепродукты""}",1142,
Камбала дальневосточная,,,http://health-diet.ru/base_of_food/sostav/121.php,,"{""Калорийность Ккал"": ""90"", ""Белки гр."": ""15,7"", ""Жиры гр."": ""3"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Камбала дальневосточная"", ""top_cat"": ""Рыба и морепродукты""}",121,
Эстрагон,,,http://health-diet.ru/base_of_food/sostav/621.php,,"{""Калорийность Ккал"": ""24,8"", ""Белки гр."": ""1,5"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""5"", ""sub_cat"": ""Травы"", ""Продукт"": ""Эстрагон"", ""top_cat"": ""Овощи и зелень""}",621,
"Говядина, лопаточная часть (плечевая)",,,http://health-diet.ru/base_of_food/sostav/673.php,,"{""Калорийность Ккал"": ""137"", ""Белки гр."": ""19,4"", ""Жиры гр."": ""6,6"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, лопаточная часть (плечевая)"", ""top_cat"": ""Мясо, птица и мясные продукты""}",673,
"Говядина, пашина",,,http://health-diet.ru/base_of_food/sostav/829.php,,"{""Калорийность Ккал"": ""225"", ""Белки гр."": ""18,9"", ""Жиры гр."": ""16,6"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, пашина"", ""top_cat"": ""Мясо, птица и мясные продукты""}",829,
"Говядина, подлопаточная часть",,,http://health-diet.ru/base_of_food/sostav/675.php,,"{""Калорийность Ккал"": ""137"", ""Белки гр."": ""19,4"", ""Жиры гр."": ""6,6"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, подлопаточная часть"", ""top_cat"": ""Мясо, птица и мясные продукты""}",675,
"Говядина, покромка",,,http://health-diet.ru/base_of_food/sostav/677.php,,"{""Калорийность Ккал"": ""218,4"", ""Белки гр."": ""18,6"", ""Жиры гр."": ""16"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, покромка"", ""top_cat"": ""Мясо, птица и мясные продукты""}",677,
"Говядина, поясничная часть (тонкий край)",,,http://health-diet.ru/base_of_food/sostav/668.php,,"{""Калорийность Ккал"": ""166"", ""Белки гр."": ""19,9"", ""Жиры гр."": ""9,6"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, поясничная часть (тонкий край)"", ""top_cat"": ""Мясо, птица и мясные продукты""}",668,
"Говядина, спинная часть (толстый край)",,,http://health-diet.ru/base_of_food/sostav/667.php,,"{""Калорийность Ккал"": ""156,6"", ""Белки гр."": ""19,8"", ""Жиры гр."": ""8,6"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, спинная часть (толстый край)"", ""top_cat"": ""Мясо, птица и мясные продукты""}",667,
"Говядина, тазобедренная часть (боковой кусок)",,,http://health-diet.ru/base_of_food/sostav/671.php,,"{""Калорийность Ккал"": ""138,4"", ""Белки гр."": ""20,2"", ""Жиры гр."": ""6,4"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, тазобедренная часть (боковой кусок)"", ""top_cat"": ""Мясо, птица и мясные продукты""}",671,
Сыр латвийский,,,http://health-diet.ru/base_of_food/sostav/734.php,,"{""Калорийность Ккал"": ""316"", ""Белки гр."": ""23,3"", ""Жиры гр."": ""24,1"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр латвийский"", ""top_cat"": ""Молоко и молочные продукты""}",734,
Сыр литовский,,,http://health-diet.ru/base_of_food/sostav/735.php,,"{""Калорийность Ккал"": ""250"", ""Белки гр."": ""27,9"", ""Жиры гр."": ""14,7"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр литовский"", ""top_cat"": ""Молоко и молочные продукты""}",735,
Сыр московский,,,http://health-diet.ru/base_of_food/sostav/736.php,,"{""Калорийность Ккал"": ""355,6"", ""Белки гр."": ""26"", ""Жиры гр."": ""26,5"", ""Углеводы гр."": ""3,5"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр московский"", ""top_cat"": ""Молоко и молочные продукты""}",736,
Сыр мягкий,,,http://health-diet.ru/base_of_food/sostav/384.php,,"{""Калорийность Ккал"": ""332"", ""Белки гр."": ""20"", ""Жиры гр."": ""28"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр мягкий"", ""top_cat"": ""Молоко и молочные продукты""}",384,
Сыр нямунас,,,http://health-diet.ru/base_of_food/sostav/1096.php,,"{""Калорийность Ккал"": ""355,6"", ""Белки гр."": ""26"", ""Жиры гр."": ""26,5"", ""Углеводы гр."": ""3,5"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр нямунас"", ""top_cat"": ""Молоко и молочные продукты""}",1096,
Сыр осетинский,,,http://health-diet.ru/base_of_food/sostav/548.php,,"{""Калорийность Ккал"": ""355,6"", ""Белки гр."": ""26"", ""Жиры гр."": ""26,5"", ""Углеводы гр."": ""3,5"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр осетинский"", ""top_cat"": ""Молоко и молочные продукты""}",548,
"Пирожное, слоеное с кремом",,,http://health-diet.ru/base_of_food/sostav/985.php,,"{""Калорийность Ккал"": ""544,1"", ""Белки гр."": ""5,4"", ""Жиры гр."": ""38,6"", ""Углеводы гр."": ""46,7"", ""Продукт"": ""Пирожное, слоеное с кремом"", ""top_cat"": ""Кондитерские изделия""}",985,
"Пирожное, слоеное с яблочной начинкой",,,http://health-diet.ru/base_of_food/sostav/986.php,,"{""Калорийность Ккал"": ""454,2"", ""Белки гр."": ""5,7"", ""Жиры гр."": ""25,6"", ""Углеводы гр."": ""53,6"", ""Продукт"": ""Пирожное, слоеное с яблочной начинкой"", ""top_cat"": ""Кондитерские изделия""}",986,
Плитки кондитерские,,,http://health-diet.ru/base_of_food/sostav/13698.php,,"{""Калорийность Ккал"": ""537"", ""Белки гр."": ""7,8"", ""Жиры гр."": ""34,6"", ""Углеводы гр."": ""48,1"", ""Продукт"": ""Плитки кондитерские"", ""top_cat"": ""Кондитерские изделия""}",13698,
Плитки кондитерские сладкие,,,http://health-diet.ru/base_of_food/sostav/13699.php,,"{""Калорийность Ккал"": ""552"", ""Белки гр."": ""6,2"", ""Жиры гр."": ""34,2"", ""Углеводы гр."": ""54,5"", ""Продукт"": ""Плитки кондитерские сладкие"", ""top_cat"": ""Кондитерские изделия""}",13699,
Пралине с ржаной мукой,,,http://health-diet.ru/base_of_food/sostav/13700.php,,"{""Калорийность Ккал"": ""567"", ""Белки гр."": ""4,7"", ""Жиры гр."": ""37,7"", ""Углеводы гр."": ""52"", ""Продукт"": ""Пралине с ржаной мукой"", ""top_cat"": ""Кондитерские изделия""}",13700,
"Пралине с соевой мукой",,,http://health-diet.ru/base_of_food/sostav/13701.php,,"{""Калорийность Ккал"": ""535"", ""Белки гр."": ""9,9"", ""Жиры гр."": ""32,2"", ""Углеводы гр."": ""51,2"", ""Продукт"": ""Пралине с соевой мукой ( раффинозы и стахиозы менее 0,3%)"", ""top_cat"": ""Кондитерские изделия""}",13701,
Пряники,,,http://health-diet.ru/base_of_food/sostav/981.php,,"{""Калорийность Ккал"": ""335,8"", ""Белки гр."": ""4,8"", ""Жиры гр."": ""2,8"", ""Углеводы гр."": ""77,7"", ""Продукт"": ""Пряники"", ""top_cat"": ""Кондитерские изделия""}",981,
Мирабель,,,http://health-diet.ru/base_of_food/sostav/211.php,,"{""Калорийность Ккал"": ""38,1"", ""Белки гр."": ""1"", ""Жиры гр."": ""0,2"", ""Углеводы гр."": ""8,6"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Мирабель"", ""top_cat"": ""Фрукты и ягоды""}",211,
Можжевельник,,,http://health-diet.ru/base_of_food/sostav/212.php,,"{""Калорийность Ккал"": ""116,3"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""31"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Можжевельник"", ""top_cat"": ""Фрукты и ягоды""}",212,
Морошка,,,http://health-diet.ru/base_of_food/sostav/230.php,,"{""Калорийность Ккал"": ""40"", ""Белки гр."": ""0,8"", ""Жиры гр."": ""0,9"", ""Углеводы гр."": ""7,4"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Морошка"", ""top_cat"": ""Фрукты и ягоды""}",230,
Мушмула,,,http://health-diet.ru/base_of_food/sostav/232.php,,"{""Калорийность Ккал"": ""52,5"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""14"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Мушмула"", ""top_cat"": ""Фрукты и ягоды""}",232,
Смородина красная,,,http://health-diet.ru/base_of_food/sostav/353.php,,"{""Калорийность Ккал"": ""43"", ""Белки гр."": ""0,6"", ""Жиры гр."": ""0,2"", ""Углеводы гр."": ""7,7"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Смородина красная"", ""top_cat"": ""Фрукты и ягоды""}",353,
Смородина черная,,,http://health-diet.ru/base_of_food/sostav/354.php,,"{""Калорийность Ккал"": ""44"", ""Белки гр."": ""1"", ""Жиры гр."": ""0,4"", ""Углеводы гр."": ""7,3"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Смородина черная"", ""top_cat"": ""Фрукты и ягоды""}",354,
Черемуха,,,http://health-diet.ru/base_of_food/sostav/430.php,,"{""Калорийность Ккал"": ""0"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Черемуха"", ""top_cat"": ""Фрукты и ягоды""}",430,
Камбала полярная,,,http://health-diet.ru/base_of_food/sostav/1144.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Камбала полярная"", ""top_cat"": ""Рыба и морепродукты""}",1144,
Камбала черноморская,,,http://health-diet.ru/base_of_food/sostav/122.php,,"{""Калорийность Ккал"": ""84,5"", ""Белки гр."": ""18,2"", ""Жиры гр."": ""1,3"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Камбала черноморская"", ""top_cat"": ""Рыба и морепродукты""}",122,
Камбала-ерш,,,http://health-diet.ru/base_of_food/sostav/1143.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Камбала-ерш"", ""top_cat"": ""Рыба и морепродукты""}",1143,
Капитан-рыба,,,http://health-diet.ru/base_of_food/sostav/561.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Капитан-рыба"", ""top_cat"": ""Рыба и морепродукты""}",561,
Карась,,,http://health-diet.ru/base_of_food/sostav/128.php,,"{""Калорийность Ккал"": ""87"", ""Белки гр."": ""17,7"", ""Жиры гр."": ""1,8"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Карась"", ""top_cat"": ""Рыба и морепродукты""}",128,
Карась океанический,,,http://health-diet.ru/base_of_food/sostav/1145.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Карась океанический"", ""top_cat"": ""Рыба и морепродукты""}",1145,
Карп,,,http://health-diet.ru/base_of_food/sostav/129.php,,"{""Калорийность Ккал"": ""112"", ""Белки гр."": ""16"", ""Жиры гр."": ""5,3"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Карп"", ""top_cat"": ""Рыба и морепродукты""}",129,
Кета,,,http://health-diet.ru/base_of_food/sostav/1219.php,,"{""Калорийность Ккал"": ""127"", ""Белки гр."": ""19"", ""Жиры гр."": ""5,6"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Кета"", ""top_cat"": ""Рыба и морепродукты""}",1219,
"Говядина, тазобедренная часть (внутренний кусок)",,,http://health-diet.ru/base_of_food/sostav/670.php,,"{""Калорийность Ккал"": ""138,4"", ""Белки гр."": ""20,2"", ""Жиры гр."": ""6,4"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, тазобедренная часть (внутренний кусок)"", ""top_cat"": ""Мясо, птица и мясные продукты""}",670,
"Говядина, тазобедренная часть(верхний кусок)",,,http://health-diet.ru/base_of_food/sostav/669.php,,"{""Калорийность Ккал"": ""138,4"", ""Белки гр."": ""20,2"", ""Жиры гр."": ""6,4"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, тазобедренная часть(верхний кусок)"", ""top_cat"": ""Мясо, птица и мясные продукты""}",669,
"Говядина, тазобедренная часть(наружный кусок)",,,http://health-diet.ru/base_of_food/sostav/672.php,,"{""Калорийность Ккал"": ""138,4"", ""Белки гр."": ""20,2"", ""Жиры гр."": ""6,4"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, тазобедренная часть(наружный кусок)"", ""top_cat"": ""Мясо, птица и мясные продукты""}",672,
"Говядина, шейная часть",,,http://health-diet.ru/base_of_food/sostav/828.php,,"{""Калорийность Ккал"": ""135,2"", ""Белки гр."": ""19,4"", ""Жиры гр."": ""6,4"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Говядина, шейная часть"", ""top_cat"": ""Мясо, птица и мясные продукты""}",828,
"Свинина, вырезка",,,http://health-diet.ru/base_of_food/sostav/680.php,,"{""Калорийность Ккал"": ""142"", ""Белки гр."": ""19,4"", ""Жиры гр."": ""7,1"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Свинина, вырезка"", ""top_cat"": ""Мясо, птица и мясные продукты""}",680,
"Свинина, грудинка мякоть",,,http://health-diet.ru/base_of_food/sostav/686.php,,"{""Калорийность Ккал"": ""602"", ""Белки гр."": ""8"", ""Жиры гр."": ""63,3"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Свинина, грудинка мякоть"", ""top_cat"": ""Мясо, птица и мясные продукты""}",686,
"Свинина, жирная, окорок",,,http://health-diet.ru/base_of_food/sostav/830.php,,"{""Калорийность Ккал"": ""332,7"", ""Белки гр."": ""15"", ""Жиры гр."": ""30,3"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Крупнокусковые полуфабрикаты"", ""Продукт"": ""Свинина, жирная, окорок"", ""top_cat"": ""Мясо, птица и мясные продукты""}",830,
"Сыр плавленый ""золушка""",,,http://health-diet.ru/base_of_food/sostav/1446.php,,"{""Калорийность Ккал"": ""254"", ""Белки гр."": ""15,2"", ""Жиры гр."": ""10,8"", ""Углеводы гр."": ""23,8"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр плавленый \""золушка\"""", ""top_cat"": ""Молоко и молочные продукты""}",1446,
"Сыр плавленый ""медовый""",,,http://health-diet.ru/base_of_food/sostav/1448.php,,"{""Калорийность Ккал"": ""291"", ""Белки гр."": ""6,1"", ""Жиры гр."": ""16,5"", ""Углеводы гр."": ""29,4"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр плавленый \""медовый\"""", ""top_cat"": ""Молоко и молочные продукты""}",1448,
"Сыр плавленый ""мятный""",,,http://health-diet.ru/base_of_food/sostav/1451.php,,"{""Калорийность Ккал"": ""335"", ""Белки гр."": ""7,9"", ""Жиры гр."": ""19,1"", ""Углеводы гр."": ""32,7"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр плавленый \""мятный\"""", ""top_cat"": ""Молоко и молочные продукты""}",1451,
"Сыр плавленый ""сказка""",,,http://health-diet.ru/base_of_food/sostav/1449.php,,"{""Калорийность Ккал"": ""316"", ""Белки гр."": ""12,2"", ""Жиры гр."": ""18"", ""Углеводы гр."": ""26,1"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр плавленый \""сказка\"""", ""top_cat"": ""Молоко и молочные продукты""}",1449,
"Сыр плавленый ""сластена""",,,http://health-diet.ru/base_of_food/sostav/1447.php,,"{""Калорийность Ккал"": ""269"", ""Белки гр."": ""13"", ""Жиры гр."": ""11,4"", ""Углеводы гр."": ""28,4"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр плавленый \""сластена\"""", ""top_cat"": ""Молоко и молочные продукты""}",1447,
"Сыр плавленый, ""новый""",,,http://health-diet.ru/base_of_food/sostav/1104.php,,"{""Калорийность Ккал"": ""331"", ""Белки гр."": ""22"", ""Жиры гр."": ""27"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр плавленый, \""новый\"""", ""top_cat"": ""Молоко и молочные продукты""}",1104,
"Сыр плавленый, ""новый"", 30%",,,http://health-diet.ru/base_of_food/sostav/1105.php,,"{""Калорийность Ккал"": ""331"", ""Белки гр."": ""22"", ""Жиры гр."": ""27"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Сыры"", ""Продукт"": ""Сыр плавленый, \""новый\"", 30%"", ""top_cat"": ""Молоко и молочные продукты""}",1105,
Пряники заварные,,,http://health-diet.ru/base_of_food/sostav/982.php,,"{""Калорийность Ккал"": ""366"", ""Белки гр."": ""5,9"", ""Жиры гр."": ""4,7"", ""Углеводы гр."": ""75"", ""Продукт"": ""Пряники заварные"", ""top_cat"": ""Кондитерские изделия""}",982,
Пряники сырцовые,,,http://health-diet.ru/base_of_food/sostav/983.php,,"{""Калорийность Ккал"": ""346"", ""Белки гр."": ""6,3"", ""Жиры гр."": ""2,1"", ""Углеводы гр."": ""75,6"", ""Продукт"": ""Пряники сырцовые"", ""top_cat"": ""Кондитерские изделия""}",983,
Сахар-песок,,,http://health-diet.ru/base_of_food/sostav/912.php,,"{""Калорийность Ккал"": ""399"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""99,8"", ""Продукт"": ""Сахар-песок"", ""top_cat"": ""Кондитерские изделия""}",912,
Сахар-рафинад,,,http://health-diet.ru/base_of_food/sostav/913.php,,"{""Калорийность Ккал"": ""400"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""99,9"", ""Продукт"": ""Сахар-рафинад"", ""top_cat"": ""Кондитерские изделия""}",913,
Сахарная пудра,,,http://health-diet.ru/base_of_food/sostav/633.php,,"{""Калорийность Ккал"": ""374,3"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""99,8"", ""Продукт"": ""Сахарная пудра"", ""top_cat"": ""Кондитерские изделия""}",633,
Сахарный сироп,,,http://health-diet.ru/base_of_food/sostav/324.php,,"{""Калорийность Ккал"": ""300"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""80"", ""Продукт"": ""Сахарный сироп"", ""top_cat"": ""Кондитерские изделия""}",324,
Сорбит пищевой,,,http://health-diet.ru/base_of_food/sostav/375.php,,"{""Калорийность Ккал"": ""354,4"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""94,5"", ""Продукт"": ""Сорбит пищевой"", ""top_cat"": ""Кондитерские изделия""}",375,
Сырье,,,http://health-diet.ru/base_of_food/sostav/1494.php,,"{""Калорийность Ккал"": ""392"", ""Белки гр."": ""0,5"", ""Жиры гр."": ""10"", ""Углеводы гр."": ""80"", ""Продукт"": ""Сырье"", ""top_cat"": ""Кондитерские изделия""}",1494,
Черника,,,http://health-diet.ru/base_of_food/sostav/433.php,,"{""Калорийность Ккал"": ""44"", ""Белки гр."": ""1,1"", ""Жиры гр."": ""0,6"", ""Углеводы гр."": ""7,6"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Черника"", ""top_cat"": ""Фрукты и ягоды""}",433,
Шелковица,,,http://health-diet.ru/base_of_food/sostav/441.php,,"{""Калорийность Ккал"": ""50,4"", ""Белки гр."": ""0,7"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""12,7"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Шелковица"", ""top_cat"": ""Фрукты и ягоды""}",441,
Шиповник,,,http://health-diet.ru/base_of_food/sostav/442.php,,"{""Калорийность Ккал"": ""109"", ""Белки гр."": ""1,6"", ""Жиры гр."": ""0,7"", ""Углеводы гр."": ""22,4"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Шиповник"", ""top_cat"": ""Фрукты и ягоды""}",442,
Шиповник сухой,,,http://health-diet.ru/base_of_food/sostav/443.php,,"{""Калорийность Ккал"": ""284"", ""Белки гр."": ""3,4"", ""Жиры гр."": ""1,4"", ""Углеводы гр."": ""48,3"", ""sub_cat"": ""Ягоды"", ""Продукт"": ""Шиповник сухой"", ""top_cat"": ""Фрукты и ягоды""}",443,
Кефаль,,,http://health-diet.ru/base_of_food/sostav/662.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Кефаль"", ""top_cat"": ""Рыба и морепродукты""}",662,
Кижуч,,,http://health-diet.ru/base_of_food/sostav/1453.php,,"{""Калорийность Ккал"": ""140"", ""Белки гр."": ""21,6"", ""Жиры гр."": ""6"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Кижуч"", ""top_cat"": ""Рыба и морепродукты""}",1453,
Килька,,,http://health-diet.ru/base_of_food/sostav/1220.php,,"{""Калорийность Ккал"": ""136,8"", ""Белки гр."": ""17,1"", ""Жиры гр."": ""7,6"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Килька"", ""top_cat"": ""Рыба и морепродукты""}",1220,
Килька балтийская,,,http://health-diet.ru/base_of_food/sostav/138.php,,"{""Калорийность Ккал"": ""137"", ""Белки гр."": ""14,1"", ""Жиры гр."": ""9"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Килька балтийская"", ""top_cat"": ""Рыба и морепродукты""}",138,
Килька каспийская,,,http://health-diet.ru/base_of_food/sostav/139.php,,"{""Калорийность Ккал"": ""192"", ""Белки гр."": ""18,5"", ""Жиры гр."": ""13,1"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Килька каспийская"", ""top_cat"": ""Рыба и морепродукты""}",139,
"Килька каспийская, анчоусовидная",,,http://health-diet.ru/base_of_food/sostav/1147.php,,"{""Калорийность Ккал"": ""191,9"", ""Белки гр."": ""18,5"", ""Жиры гр."": ""13,1"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Рыба свежая, охлаждённая, мороженая"", ""Продукт"": ""Килька каспийская, анчоусовидная"", ""top_cat"": ""Рыба и морепродукты""}",1147,
