name,weight,price,crawllink,link,details,id,imgUrl
Абрикосы сушеные без косточки (курага),,,http://health-diet.ru/base_of_food/sostav/170.php,,"{""Калорийность Ккал"": ""232"", ""Белки гр."": ""5,2"", ""Жиры гр."": ""0,3"", ""Углеводы гр."": ""51"", ""Продукт"": ""Абрикосы сушеные без косточки (курага)"", ""top_cat"": ""Фрукты и ягоды""}",170,
Абрикосы сушеные с косточкой (урюк),,,http://health-diet.ru/base_of_food/sostav/410.php,,"{""Калорийность Ккал"": ""242"", ""Белки гр."": ""5"", ""Жиры гр."": ""0,4"", ""Углеводы гр."": ""53"", ""Продукт"": ""Абрикосы сушеные с косточкой (урюк)"", ""top_cat"": ""Фрукты и ягоды""}",410,
Авокадо,,,http://health-diet.ru/base_of_food/sostav/714.php,,"{""Калорийность Ккал"": ""160"", ""Белки гр."": ""2"", ""Жиры гр."": ""14,66"", ""Углеводы гр."": ""1,83"", ""Продукт"": ""Авокадо"", ""top_cat"": ""Фрукты и ягоды""}",714,
Айва,,,http://health-diet.ru/base_of_food/sostav/22.php,,"{""Калорийность Ккал"": ""48"", ""Белки гр."": ""0,6"", ""Жиры гр."": ""0,5"", ""Углеводы гр."": ""9,6"", ""Продукт"": ""Айва"", ""top_cat"": ""Фрукты и ягоды""}",22,
Алыча,,,http://health-diet.ru/base_of_food/sostav/24.php,,"{""Калорийность Ккал"": ""34"", ""Белки гр."": ""0,2"", ""Жиры гр."": ""0,1"", ""Углеводы гр."": ""7,9"", ""Продукт"": ""Алыча"", ""top_cat"": ""Фрукты и ягоды""}",24,
Ананас,,,http://health-diet.ru/base_of_food/sostav/25.php,,"{""Калорийность Ккал"": ""52"", ""Белки гр."": ""0,3"", ""Жиры гр."": ""0,1"", ""Углеводы гр."": ""11,8"", ""Продукт"": ""Ананас"", ""top_cat"": ""Фрукты и ягоды""}",25,
Апельсин,,,http://health-diet.ru/base_of_food/sostav/27.php,,"{""Калорийность Ккал"": ""43"", ""Белки гр."": ""0,9"", ""Жиры гр."": ""0,2"", ""Углеводы гр."": ""8,1"", ""Продукт"": ""Апельсин"", ""top_cat"": ""Фрукты и ягоды""}",27,
Арбуз,,,http://health-diet.ru/base_of_food/sostav/30.php,,"{""Калорийность Ккал"": ""27"", ""Белки гр."": ""0,6"", ""Жиры гр."": ""0,1"", ""Углеводы гр."": ""5,8"", ""Продукт"": ""Арбуз"", ""top_cat"": ""Фрукты и ягоды""}",30,
Винный уксус (3%),,,http://health-diet.ru/base_of_food/sostav/409.php,,"{""Калорийность Ккал"": ""9"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""0"", ""Продукт"": ""Винный уксус (3%)"", ""top_cat"": ""Специи, приправы и соусы""}",409,
Гвоздика,,,http://health-diet.ru/base_of_food/sostav/62.php,,"{""Калорийность Ккал"": ""0"", ""Белки гр."": ""0"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""0"", ""Продукт"": ""Гвоздика"", ""top_cat"": ""Специи, приправы и соусы""}",62,
Горчица столовая,,,http://health-diet.ru/base_of_food/sostav/471.php,,"{""Калорийность Ккал"": ""417,5"", ""Белки гр."": ""5"", ""Жиры гр."": ""40"", ""Углеводы гр."": ""10"", ""Продукт"": ""Горчица столовая"", ""top_cat"": ""Специи, приправы и соусы""}",471,
Каперсы консервированные,,,http://health-diet.ru/base_of_food/sostav/21229.php,,"{""Калорийность Ккал"": ""23"", ""Белки гр."": ""2,36"", ""Жиры гр."": ""0,86"", ""Углеводы гр."": ""1,69"", ""Продукт"": ""Каперсы консервированные"", ""top_cat"": ""Специи, приправы и соусы""}",21229,
Кардамон,,,http://health-diet.ru/base_of_food/sostav/21238.php,,"{""Калорийность Ккал"": ""311"", ""Белки гр."": ""10,76"", ""Жиры гр."": ""6,7"", ""Углеводы гр."": ""40,47"", ""Продукт"": ""Кардамон"", ""top_cat"": ""Специи, приправы и соусы""}",21238,
Корица,,,http://health-diet.ru/base_of_food/sostav/21226.php,,"{""Калорийность Ккал"": ""247"", ""Белки гр."": ""3,99"", ""Жиры гр."": ""1,24"", ""Углеводы гр."": ""27,49"", ""Продукт"": ""Корица"", ""top_cat"": ""Специи, приправы и соусы""}",21226,
Лавровый лист,,,http://health-diet.ru/base_of_food/sostav/21223.php,,"{""Калорийность Ккал"": ""313"", ""Белки гр."": ""7,61"", ""Жиры гр."": ""8,36"", ""Углеводы гр."": ""48,67"", ""Продукт"": ""Лавровый лист"", ""top_cat"": ""Специи, приправы и соусы""}",21223,
Морская капуста,,,http://health-diet.ru/base_of_food/sostav/231.php,,"{""Калорийность Ккал"": ""5,4"", ""Белки гр."": ""0,9"", ""Жиры гр."": ""0,2"", ""Углеводы гр."": ""0"", ""Продукт"": ""Морская капуста"", ""top_cat"": ""Рыба и морепродукты""}",231,
"Морская капуста, консервированная",,,http://health-diet.ru/base_of_food/sostav/577.php,,"{""Калорийность Ккал"": ""5,4"", ""Белки гр."": ""0,9"", ""Жиры гр."": ""0,2"", ""Углеводы гр."": ""0"", ""Продукт"": ""Морская капуста, консервированная"", ""top_cat"": ""Рыба и морепродукты""}",577,
"Морская капуста, сушеная",,,http://health-diet.ru/base_of_food/sostav/578.php,,"{""Калорийность Ккал"": ""5,4"", ""Белки гр."": ""0,9"", ""Жиры гр."": ""0,2"", ""Углеводы гр."": ""0"", ""Продукт"": ""Морская капуста, сушеная"", ""top_cat"": ""Рыба и морепродукты""}",578,
Отходы рыбные пищевые,,,http://health-diet.ru/base_of_food/sostav/525.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""Продукт"": ""Отходы рыбные пищевые"", ""top_cat"": ""Рыба и морепродукты""}",525,
Икра белужья зернистая,,,http://health-diet.ru/base_of_food/sostav/103.php,,"{""Калорийность Ккал"": ""235"", ""Белки гр."": ""26,8"", ""Жиры гр."": ""13,8"", ""Углеводы гр."": ""0,8"", ""sub_cat"": ""Икра солёная"", ""Продукт"": ""Икра белужья зернистая"", ""top_cat"": ""Рыба и морепродукты""}",103,
Икра вобельная пробойная,,,http://health-diet.ru/base_of_food/sostav/1243.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Икра солёная"", ""Продукт"": ""Икра вобельная пробойная"", ""top_cat"": ""Рыба и морепродукты""}",1243,
Икра вобельная ястычная (тарама),,,http://health-diet.ru/base_of_food/sostav/1244.php,,"{""Калорийность Ккал"": ""88"", ""Белки гр."": ""17,5"", ""Жиры гр."": ""2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Икра солёная"", ""Продукт"": ""Икра вобельная ястычная (тарама)"", ""top_cat"": ""Рыба и морепродукты""}",1244,
