raw_id,sqn,brand,brand_detected,product_manufacturer,weight,fat,pack,pfqn
132904,творог,ПРОСТОКВАШИНО,True,"ОАО ""Компания ЮНИМИЛК""",220г,5%,обрам,Творог Простоквашино 5% 220г обрам
198124,масло олив e v toscano i g p,Monini,True,MONINI SPA,250 мл,,ст/б,Масло олив E.V. Monini Toscano I.G.P. 250 мл ст/б
125831,греческая смесь в соусе санторини,Витамин,True,"ООО ""ТК ""Мираторг""",400г,,,"Греческая смесь в соусе Санторини 400г, Vитамин"
179729,круассан мини с кремом какао,7 Days,True,"ООО ""Чипита""",200г,,,Круассан мини 7 Days с кремом какао 200г
43035,мандарины марокко,Не Бренд,,,кг,,,"Мандарины Марокко, кг"
81445,нектар персик,Я,True,"ОАО ""Вимм-Билль-Данн""",0.2л,,ст/б,Нектар Я персик 0.2л ст/б
55571,сыр сулугуни,Луговая свежесть,True,,кг,45% м.д.ж в сух.вещ-ве,,Сыр Сулугуни кг Луговая свежесть (45% м.д.ж в сух.вещ-ве)
168463,сельдь филе-кус с/с в масле,STANDARD,True,,150г,,,"Сельдь филе-кус с/с в масле, 150г  VICI"
61039,сырный продукт Брынза греческая фета,Сиртаки,True,ООО «Невские сыры»,500г,,,Сырный продукт Сиртаки Греческая Фета  500г
243428,коктейль молоч ультрапаст ванил мороженое tba slim гк 18,Смешарики,True,"ОАО ""Компания ЮНИМИЛК""",210г,2.5%,,Смешарики Коктейль молоч. ультрапаст. Ванил. мороженое 2.5% 210г TBA slim (ГК 18)
182688,пицца джузеппе салями,Ресторанте,,"""Д-р Оеткер Польска Сп.ц.о.о.""",380г,,,Пицца Джузеппе салями 380г
180714,печень трески натуральная в/с,Морской Котик,True,ООО «Парус»,230г,,,Печень трески натуральная Морской Котик в/с 230г
76412,мороженое пломбир ваф стак п/х,Как раньше,True,"ОАО ""Петрохолод""",70 г,,,Мороженое пломбир Ваф. Стак. Как раньше 70 г  П/Х
594285,напиток б/алк негаз зеленый чай,Lipton,True,"ООО ""ПепсиКо Холдингс""",1.75 л,,,Напиток Липтон б/алк негаз зеленый чай 1.75 л
77677,биойогурт обог б/б чернослив,Активиа,True,"ООО ""Данон Индустрия""",150г,2.8%,,Биойогурт обог.б/б Активия 2.8% чернослив 150г
243362,котлеты из говядины часар,Не Бренд,,"ООО ""Кудиновский мясной комплекс""",320г,,,Котлеты из говядины 320г Часар
197864,макароны 121 ромби,De Cecco,True,,500г,,,Макароны De Cecco 121 Ромби 500г
119433,напиток плей морк/ябл/лайм/малина б/алк негаз,Теди,True,"СМПМарк-IV""",0.4л,,пэт,Напиток Теди Плей морк/ябл/лайм/малина б/алк негаз 0.4л ПЭТ
81011,коктейль из морепродуктов в масле,Меридиан,True,"ОАО ПКП ""Меридиан"", Россия",200г,,в/у,Коктейль из морепродуктов Меридиан в масле 200г в/у
243486,сыр плавленый легкий сливочный,PRESIDENT,True,Лакталис Истра,200г,,ванночка,Сыр плавленый Президент Легкий сливочный 200г ванночка
243599,колбаска шоколадно-ореховая,Надежда КФ,True,"ООО КФ ""Надежда""",420г,,,Колбаска Шоколадно-ореховая Надежда КФ 420г
323219,масло оливковое e v,О'КЕЙ,True,СТЕКЛО,500мл,,ст/б,Масло оливковое ОКЕЙ E.V. 500мл ст/б
43452,сардельки говяжьи особые,Царицыно,True,"ОАО ""Фирменный Торговый Дом Царицыно""",кг,,,Сардельки Говяжьи Особые Царицыно. кг
161876,колбаски п/к охотничьи,Заповедные продукты,True,"ООО ""Золотой век""",кг,,,Колбаски п/к охотничьи Заповедные продукты. кг
242061,креветки в рассоле,Меридиан,True,"ОАО ПКП ""Меридиан"", Россия",180г,,пл/б,Креветки Меридиан в рассоле 180г пл/б
128635,капуста квашеная с морковью и хреном,Не Бренд,True,"ООО ""Эхо""",500г,,,Капуста квашеная с морковью и хреном «Белоручка» 500г
